iter,time,est_name,n_fe,dgp_name,n_obs,language
2,0.118026971817017,FixedEffectModels.reg,2,simple,500000,julia
3,0.0373349189758301,FixedEffectModels.reg,2,simple,500000,julia
1,0.0894861221313477,FixedEffectModels.reg,3,simple,500000,julia
2,0.0882570743560791,FixedEffectModels.reg,3,simple,500000,julia
3,0.0915660858154297,FixedEffectModels.reg,3,simple,500000,julia
1,0.0414581298828125,fixest::feols,2,simple,500000,r
2,0.0341551303863525,fixest::feols,2,simple,500000,r
3,0.0337929725646973,fixest::feols,2,simple,500000,r
1,0.0607669353485107,fixest::feols,3,simple,500000,r
2,0.0616531372070312,fixest::feols,3,simple,500000,r
3,0.0616359710693359,fixest::feols,3,simple,500000,r
1,0.18295407295227,lfe::felm,2,simple,500000,r
2,0.184921026229858,lfe::felm,2,simple,500000,r
3,0.183696985244751,lfe::felm,2,simple,500000,r
1,0.226775169372559,lfe::felm,3,simple,500000,r
2,0.290901899337769,lfe::felm,3,simple,500000,r
3,0.209697008132935,lfe::felm,3,simple,500000,r
1,0.476099540999712,linearmodels.AbsorbingLS,2,simple,500000,python
2,0.483904917000473,linearmodels.AbsorbingLS,2,simple,500000,python
3,0.476800166998146,linearmodels.AbsorbingLS,2,simple,500000,python
1,0.890101458000572,linearmodels.AbsorbingLS,3,simple,500000,python
2,0.887639542001125,linearmodels.AbsorbingLS,3,simple,500000,python
3,0.884588916997018,linearmodels.AbsorbingLS,3,simple,500000,python
1,0.0376391669997247,pyfixest.feols (numba),2,simple,500000,python
2,0.0363235420009005,pyfixest.feols (numba),2,simple,500000,python
3,0.038025583999115,pyfixest.feols (numba),2,simple,500000,python
1,0.0594085830016411,pyfixest.feols (numba),3,simple,500000,python
2,0.0759752500016475,pyfixest.feols (numba),3,simple,500000,python
3,0.0559200000025157,pyfixest.feols (numba),3,simple,500000,python
1,0.0661463339965849,pyfixest.feols (rust),2,simple,500000,python
2,0.0393117079984222,pyfixest.feols (rust),2,simple,500000,python
3,0.0547022079990711,pyfixest.feols (rust),2,simple,500000,python
1,0.065029624998715,pyfixest.feols (rust),3,simple,500000,python
2,0.100198583997553,pyfixest.feols (rust),3,simple,500000,python
